flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
3 BHK Flat,4.25 Cr,"oberoi Sky City, Khande Rao Dongari, Borivali East, Mumbai",1080 sq.ft,₹39.35 K/sq.ft,1 Years Old,Ready to move,Lowerof 61 floors,Unfurnished,,4.3 LacsAccess Zero Brokerage Properties,4.25 Cr,3,3,No Balcony,9 days ago,2 Covered Parking,"This 3 BHK apartment is available for sale in Sky City By Oberoi Realty, one of the most prominent projects for flats in Borivali east, Western mumbai. The flat is over 1080 sq.ft. Carpet Area and comes with 3 bedroom(s), 3 bathrooms . The property iRead More"
1 BHK Flat,1.47 Cr,"Hiranandani Maple A B and C Wing, Sainath Nagar, Powai, Mumbai",630 sq.ft,₹23.33 K/sq.ft,3 Year Old,Ready to move,Higherof 17 floors,Semi Furnished,,Hiranandani Maple A B and C Wing,1.5 LacsAccess Zero Brokerage Properties,380 sq.ft,1,1,No Balcony,1 Covered Parking,"This1 bhk apartment is available for sale in zen maple , one of the most prominent projects for flats in Hiranandani garden central mumbai. This residential flat is east-Facing direction. The flat is over390 sq.Ft. Carpet area and comes with 1 bedrooRead More"
2 BHK Flat,2.25 Cr,"Raheja Acropolis, Govandi, Mumbai",1020 sq.ft,₹22.06 K/sq.ft,9 Year Old,Ready to move,Middleof 23 floors,Semi Furnished,,Raheja Acropolis,2.3 LacsAccess Zero Brokerage Properties,780 sq.ft,2,2,1,1 Covered Parking,"Raheja Acropolis II is an unmatched Residential property located in Deonar, Mumbai. The project offers plenty of benefits that includes prime location, comfortable and lavish lifestyle, great amenities, healthy surroundings and high return.

LocationRead More"
2 BHK Flat,1.45 Cr,"neelam chs ltd, Mudran Press Colony, Andheri West, Mumbai",600 sq.ft,₹24.17 K/sq.ft,7 Year Old,Ready to move,Middleof 12 floors,Semi Furnished,,1.6 LacsAccess Zero Brokerage Properties,1.45 Cr,2,2,No Balcony,More than a month ago,1 Open Parking,"IMMEDIATE POSESSION 
THIS FLAT IS SMALL 2BHK FLAT WITH 2 WASHROOM 
THE BUILDING IS LOCATED AT MODEL TOWN ANDHERI WEST .
THE LOCATION IS VERY PRIME AND PEACFULL TO STAY .
THE BUILDING IS 12 STORYS AND FLAT IS ON MIDDLE FLOOR ,NORTH FACING FLAT .
SCHOORead More"
1 BHK Flat,85.0 L,"Mantri Park, Aarey Colony, Goregaon East, Mumbai",545 sq.ft,₹15.60 K/sq.ft,10 Year Old,Ready to move,Higherof 20 floors,Unfurnished,,Mantri Park,1.7 LacsAccess Zero Brokerage Properties,400 sq.ft,1,1,1,1 Covered and 1 Open Parking,"Many Offices  and  Flats 1 Rk, 1 bhk ,2bhk, 3 bhk  are  available for rent and sale 
with water, parking, lift, power backup, gym,  security, maintenance staff, Etc.
Royal palms is the one of the best location, Peaceful & pollution free environment. Read More"
3 BHK Flat,7.5 Cr,"Planet Godrej, Jacob Circle, Mumbai",1650 sq.ft,₹45.45 K/sq.ft,10 Year Old,Ready to move,Middleof 51 floors,Semi Furnished,,Planet Godrej,7.5 LacsAccess Zero Brokerage Properties,1400 sq.ft,3,3,No Balcony,2 Covered Parking,"3BHK APARTMENT AVAILABLE FOR SALE AT PLANET GODREJ, MAHALAXMI. APARTMENT COMES WITH 2 CAR PARKS, GET IN TOUCH WITH US TO KNOW MORE More About This Property Property for sale in Jacob Circle, Mumbai. This 3 BHK Flat is located in Mumbai's most promisiRead More"
2 BHK Flat,9.25 Cr,"Sharda Apartment, Churchgate, Mumbai",1400 sq.ft,₹66.07 K/sq.ft,40 Year Old,Ready to move,Middleof 21 floors,Semi Furnished,,Sharda Apartment,9.3 LacsAccess Zero Brokerage Properties,1300 sq.ft,2,2,No Balcony,1 Covered Parking,This is a spacious 2 bhk with servant room and bathroom in sharda bldg at Churchgate . The flat has an excellent open view with wonderful ventilation and natural light throughout the flat. 1 garage car parking with the flat. 2 bathrooms. Servant roomRead More
2 BHK Flat,5.25 Cr,"MHADA Colony, Juhu, Mumbai",909 sq.ft,₹57.76 K/sq.ft,12 Year Old,Ready to move,Higherof 13 floors,,,5.3 LacsAccess Zero Brokerage Properties,5.25 Cr,2,2,1,18 days ago,1 Covered and 1 Open Parking,"A 2 BHK Flat for sale in Juhu, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Juhu's most desired properties. Contact now for more information. This 2 BHK unit is on floor 12. There are 13 floors in this propeRead More"
2 BHK Flat,3.5 Cr,"Hiranandani Garden Norita, Sainath Nagar, Powai, Mumbai",1050 sq.ft,₹33.33 K/sq.ft,20 Year Old,Ready to move,Higherof 21 floors,Semi Furnished,,Hiranandani Garden Norita,3.5 LacsAccess Zero Brokerage Properties,850 sq.ft,2,2,1,1 Covered and 1 Open Parking,"property is on higher floor
low density
fully lake view apartment More About This Property Looking for a good 2 BHK Flat in Powai, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 18. Total number of floorsRead More"
2 BHK Flat,89.0 L,"Unique Ivana, Chandan Shanti, Mira Road East, Mumbai",841 sq.ft,₹10.58 K/sq.ft,Ready to move,North facing,North facingFacing,,,Unique Ivana,No ChargeAccess Zero Brokerage Properties,541 sq.ft,2,2,3,1 Open Parking,"2 BHK Flat for sale in Mumbai. This property is in Mira Bhayandar, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 11. ThRead More"
3 BHK Flat,4.5 Cr,"Royal Resort, SV Patel Nagar, Andheri West, Mumbai",1650 sq.ft,₹27.27 K/sq.ft,20 Year Old,Ready to move,Higherof 25 floors,Fully Furnished,,Royal Resort,4.5 LacsAccess Zero Brokerage Properties,1200 sq.ft,3,3,2,1 Covered and 1 Open Parking,"3BHK EXCLUSIVE FULLY FURNISHED FLAT IN SHASTRI NAGAR GOOD LOCATION WITH ALL AMENITIES  More About This Property 3 BHK Flat for sale in Mumbai. This property is in Andheri West, which is a coveted investment location. This tastefully designed 3 BHK unRead More"
3 BHK Flat,1.95 Cr,"Hubtown Ackruti Orchid Park, Safed Pul, Sakinaka, Mumbai",1200 sq.ft,₹16.25 K/sq.ft,16 Year Old,Ready to move,Middleof 11 floors,Semi Furnished,,Hubtown Ackruti Orchid Park,1.9 LacsAccess Zero Brokerage Properties,850 sq.ft,3,2,1,No Parking,"2.5 Bhk for sale in excellent complex at Sakinaka. 7 mins walking to Metro Station and 5 mins to Intl Airport. Excellent Complex with great amenities of Pool, Health Club,Garden, Amphitheatre, Tiny Tots Area etc  More About This Property A 3 BHK FlatRead More"
3 BHK Flat,4.15 Cr,"Shree Shakun Heights, Goregaon East, Mumbai",3500 sq.ft,₹11.86 K/sq.ft,6 Year Old,Ready to move,Higherof 15 floors,Fully Furnished,,Shree Shakun Heights,4.2 Lacs(Negotiable)Access Zero Brokerage Properties,2760 sq.ft,3,3,3,2 Covered Parking,"3 BHK Flat for sale in Mumbai. This property is in Goregaon East, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 15. TheRead More"
2 BHK Flat,1.78 Cr,"Mahavir Nagar Extension, Kandivali West, Mumbai",1100 sq.ft,₹16.18 K/sq.ft,15 Year Old,Ready to move,Higherof 7 floors,,,1.8 LacsAccess Zero Brokerage Properties,1.78 Cr,2,2,No Balcony,3 days ago,1 Open Parking,"2 BHK Flat for sale in Kandivali West, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Kandivali West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in KRead More"
3 BHK Flat,3.91 Cr,"Godrej Horizon Phase I, Wadala West, Wadala, Mumbai",1050 sq.ft,₹37.24 K/sq.ft,3 BHK,"31st Dec, 2024",Higherof 41 floors,,,Godrej Horizon Phase I,No ChargeAccess Zero Brokerage Properties,1050 sq.ft,3,3,1,2 Covered and 1 Open Parking,"Best 3 BHK Flat for modern-day lifestyle is now available for sale. Grab this 3 BHK property for sale in one of Mumbai's top location, Wadala West. It is situated on floor 38. The total number of floors in this Flat is 41. The property price of this Read More"
3 BHK Flat,5.35 Cr,"Glen series Powai Hiranandani, Hiranandani Gardens, Powai, Mumbai",1295 sq.ft,₹41.31 K/sq.ft,13 Year Old,Ready to move,Middleof 27 floors,,,5.3 LacsAccess Zero Brokerage Properties,5.35 Cr,3,3,No Balcony,More than a month ago,1 Covered Parking,"Looking for a good 3 BHK Flat in Powai, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 15. Total number of floors is 27. Maintenance charges of this property is Rs 0. This Flat is available for Rs 5.35 CrRead More"
2 BHK Flat,2.8 Cr,"Hiranandani Gardens, Powai, Mumbai",1150 sq.ft,₹24.35 K/sq.ft,1 Years Old,Ready to move,Higherof 18 floors,Unfurnished,,2.8 LacsAccess Zero Brokerage Properties,2.8 Cr,2,2,1,More than a month ago,1 Covered Parking,"2bhk flat for sale in Kalpataru Woodsville Bldg., Chandivali Farm Road, Chandivali in good locality. This is 1150 sq.ft built up and 770 sq.ft carpet area. with covered parking. This is well maintain flat with all modern amenities available there. MoRead More"
1 BHK Flat,75.0 L,"Lodha casa Maxima, Silver Park, Mira Road East, Mumbai",700 sq.ft,₹10.71 K/sq.ft,3 Year Old,Ready to move,Higherof 19 floors,Unfurnished,,1.4 Lacs(Negotiable)Access Zero Brokerage Properties,75.0 L,1,2,3,4 days ago,No Parking,"Lodha Group is famous for their well-planned societies like Lodha Casa Maxima in Mumbai. If you have always wanted to be part of a vibrant and well managed society, this is the best option for you. Looking for a safe space for you or the kids to run,Read More"
2 BHK Flat,3.8 Cr,"RNA NG Eclat, Yamuna Nagar, Andheri West, Mumbai",1380 sq.ft,₹27.54 K/sq.ft,5 Year Old,Ready to move,Higherof 36 floors,,,RNA NG Eclat,3.8 LacsAccess Zero Brokerage Properties,862 sq.ft,2,2,No Balcony,1 Covered Parking,One of the finest property in Andheri West is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 27. It is a 36 storeyed building. The price of this Flat is Rs 3.8 Cr. This Flat is spacious with a built-up area of 1380 sqRead More
3 BHK Flat,4.75 Cr,"Oberoi Skycity, Kulupwadi, Borivali East, Mumbai",1395 sq.ft,₹34.05 K/sq.ft,1 Years Old,Ready to move,Lowerof 62 floors,Semi Furnished,,4.8 LacsAccess Zero Brokerage Properties,4.75 Cr,3,3,No Balcony,11 days ago,2 Covered Parking,"Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Borivali East. It is on floor 6 out of 62 floors. This Flat is available at a reasonable price of Rs 4.75 Cr. Maintenance chargesRead More"
3 BHK Flat,2.35 Cr,"Jay Prakash Nagar, Goregaon East, Mumbai",1020 sq.ft,₹23.04 K/sq.ft,20 Year Old,Ready to move,Middleof 7 floors,,,2.4 Lacs(Negotiable)Access Zero Brokerage Properties,2.35 Cr,3,3,No Balcony,19 days ago,1 Covered Parking,"This Flat is Near Goregaon Station, and is close to western express highway & metro station. This property has 24 hrs Electricity and 24hrs water supply . More About This Property 3 BHK Flat for sale in Goregaon East, Mumbai with modern-day amenitiesRead More"
3 BHK Flat,4.09 Cr,"Oberoi Sky City Tower E, Magathane, Borivali East, Mumbai",1380 sq.ft,₹29.64 K/sq.ft,1 Years Old,Ready to move,Lowerof 62 floors,Unfurnished,,Oberoi Sky City Tower E,4.1 LacsAccess Zero Brokerage Properties,1073 sq.ft,3,3,No Balcony,2 Covered Parking,"This 3BHK apartment is available for sale in Oberoi Sky City, Borivali East. It has 3 bedrooms 3 bathrooms. The apartment is spacious with a Carpet area of 1073 sq. Ft. It has vitrified flooring. Located on the 19th floor of 62 floors, the expected pRead More"
2 BHK Flat,3.7 Cr,"Hiranandani Zen Atlantis, Hiranandani Gardens, Powai, Mumbai",1250 sq.ft,₹29.60 K/sq.ft,5 Year Old,Ready to move,Lowerof 32 floors,Semi Furnished,,Hiranandani Zen Atlantis,3.7 LacsAccess Zero Brokerage Properties,750 sq.ft,2,2,No Balcony,1 Covered Parking,"This is a 2bhk semi-Furnished (Builder condition) apartment with full size well done  in both the bedrooms. This is a lake view apartment having the complete powai lake view, atlantis building has a swimming pool, gymnasium, childrens play area, joggRead More"
2 BHK Flat,1.71 Cr,"Siddharth Nagar, Ghatkopar West, Mumbai",720 sq.ft,₹23.75 K/sq.ft,40 Year Old,Ready to move,Lowerof 3 floors,,,1.7 Lacs(Negotiable)Access Zero Brokerage Properties,1.71 Cr,2,2,No Balcony,15 days ago,1 Open Parking,"2 BHK Flat For Sale @ Ghatkopar West

🌼 720 Carpet Semi Furnished
🌼 Car Parking Available
🌼 Near Jain Derasar
🌼 24 Hours Water & Security
🌼 GAS Line
🌼 Future Redevelopment Prospect More About This Property Check out this 2 BHK Flat for sale in Read More"
3 BHK Flat,2.53 Cr,"New madhuban, P&T Staff Colony, Mulund West, Mumbai",1050 sq.ft,₹24.09 K/sq.ft,Ready to move,Semi Furnished,Semi FurnishedFurnishing,,,2.5 LacsAccess Zero Brokerage Properties,2.53 Cr,3,3,No Balcony,15 days ago,1 Covered Parking,"Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Mulund West. It is on floor 10 out of 14 floors. This Flat is available at a reasonable price of Rs 2.53 Cr. The built up area ofRead More"
3 BHK Flat,7.4 Cr,"Kamala Nagar, Vile Parle West, Mumbai",1550 sq.ft,₹47.74 K/sq.ft,1 Years Old,Ready to move,Higherof 10 floors,Unfurnished,,7.4 LacsAccess Zero Brokerage Properties,7.4 Cr,3,4,No Balcony,More than a month ago,2 Covered Parking,"BRAND NEW BUILDING UNTOUCHED FLAT, EMPTY FLAT WITH MODULAR KITCHEN, POWER BACKUP WITH IMMEDIATE SALE, HIGHER FLOOR, AMENTIES  GYM, TERES GARDEN, KIDS PLAY AREA,  5 MIN WALKING DISTANCE TO VILE PARLE STATION, 2 MIN WALKING DISTANCE TOEAST WEST FLYOVERRead More"
2 BHK Flat,3.05 Cr,"Godrej Platinum, Pirojshanagar, Vikhroli East, Mumbai",1300 sq.ft,₹23.46 K/sq.ft,5 Year Old,Ready to move,Middleof 28 floors,Unfurnished,,Godrej Platinum,2.9 Lacs(Negotiable)Access Zero Brokerage Properties,933 sq.ft,2,2,No Balcony,2 Covered Parking,"Unused 2bhk Flat. This lovely 2 BHK apartment/flat in Pirojshanagar is available for sale in one of Central Mumbai Suburbs's most popular projects, Godrej Platinum. The flat is over 933 sq.ft. Carpet Area and comes with 2 bedroom(s), 2 bathrooms . ThRead More"
4 BHK Flat,4.7 Cr,"Sainath Nagar, Powai, Mumbai",2120 sq.ft,₹22.17 K/sq.ft,10 Year Old,Ready to move,Middleof 14 floors,Unfurnished,,Callalily,4.7 LacsAccess Zero Brokerage Properties,1600 sq.ft,4,3,2,1 Covered and 1 Open Parking,"4 BHK Flat for sale in Powai, Mumbai with modern-day amenities. The Flat is in Powai which is a promising investment destination in Mumbai. This might be your chance to grab the best 4 BHK property for sale in Powai. The property is on floor 8 and thRead More"
5 BHK Flat,5.5 Cr,"Kohinoor City Phase II, Kurla East, Mumbai",2600 sq.ft,₹21.15 K/sq.ft,5 BHK,"15th Aug, 2024",Middleof 10 floors,Semi Furnished,,Kohinoor City Phase II,5.5 LacsAccess Zero Brokerage Properties,1900 sq.ft,5,4,4,2 Covered Parking,"Jodi flat (combination of 2 flats of 2 BHK) 5 BHK with 4 baths spacious airy flat with excellent cross ventilation. Well planned society, dedicated car parking, kids play area, beautiful land scaping. Everything near by shops, school, hospital, mall,Read More"
2 BHK Flat,4.5 Cr,"Willingdon, Santacruz West, Mumbai",989 sq.ft,₹45.50 K/sq.ft,20 Year Old,Ready to move,Higherof 8 floors,Semi Furnished,,4.5 LacsAccess Zero Brokerage Properties,4.5 Cr,2,2,No Balcony,5 days ago,1 Open Parking,2BHK FLAT AVAILABLE ON OUTRIGHT AT SANTACRUZ WEST. THE PROPERTY HAS 2 BEDROOM WITH 2 BATHROOM. AVAILABLE AT AN EXPECTED PRICE OF 4.5 CR. THE PROPERTY COMES WITH THE GOOD CONSTRUCTION QUALITY AT PRIME LOCATION. More About This Property One of the fineRead More
1 BHK Flat,1.7 Cr,"Vile Parle East, Mumbai",550 sq.ft,₹30.91 K/sq.ft,Ready to move,West facing,West facingFacing,,,1.7 LacsAccess Zero Brokerage Properties,1.7 Cr,1,2,No Balcony,21 days ago,No Parking,"Looking for a good 1 BHK Flat in Vile Parle East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 4. Total number of floors is 11. This Flat is available for Rs 1.7 Cr. This modern unit has a built-up areaRead More"
2 BHK Flat,3.1 Cr,"Oberoi park View, Thakur Village, Kandivali East, Mumbai",856 sq.ft,₹36.21 K/sq.ft,9 Year Old,Ready to move,Higherof 26 floors,Semi Furnished,,3.0 Lacs(Negotiable)Access Zero Brokerage Properties,3.1 Cr,2,2,No Balcony,25 days ago,1 Covered Parking,"2 BHK Sale Flat available in Oberoi Park View thakur village Kandivali East. 2 bedroom,2 bathroom, 1 car Covered parking in this flat. East west Facing Proper Vastu Compline higher floor fully furnished flat Carpet Approx 820Sq-Ft area Higher floor wRead More"
3 BHK Flat,2.15 Cr,"Lokhandwala Sapphire Heights, Lokhandwala Township, Kandivali East, Mumbai",1245 sq.ft,₹17.27 K/sq.ft,15 Year Old,Ready to move,Middleof 26 floors,Semi Furnished,,Lokhandwala Sapphire Heights,2.1 LacsAccess Zero Brokerage Properties,850 sq.ft,3,2,No Balcony,1 Covered Parking,"This lovely 2.5 BHK apartment/flat in Kandivali East is available for sale in one of Mumbai Andheri-dahisar's most popular projects, Sapphire Heights. Containing 3 bedroom(s), 2 bathroom , this flat is spread over a Carpet Area of 850 sq.ft. The flatRead More"
2 BHK Flat,68.9 L,"Vihang Hills A1 A2 B1 B2 C1 C2, Bhayandarpada, Thane West, Mumbai",902 sq.ft,₹7.64 K/sq.ft,4 Year Old,Ready to move,Higherof 16 floors,Unfurnished,,Vihang Hills A1 A2 B1 B2 C1 C2,"80,000(Negotiable)Access Zero Brokerage Properties",625 sq.ft,2,2,3,1 Covered and 1 Open Parking,"2 BHK Flat for sale in Thane West, Thane with modern-day amenities. The Flat is in Thane West which is a promising investment destination in Thane. This might be your chance to grab the best 2 BHK property for sale in Thane West. The property is on fRead More"
1 RK Flat,27.0 L,"Samta Ostwal Empire M1 And M2, Boisar, Mumbai",550 sq.ft,₹4.91 K/sq.ft,12 Year Old,Ready to move,Higherof 3 floors,Unfurnished,,Samta Ostwal Empire M1 And M2,"54,000Access Zero Brokerage Properties",1,1,1,More than a month ago,1 Covered and 1 Open Parking,"1 bhk flat for sell in heart of boisar rent benefits are 7000 per month  More About This Property 1 RK Flat for sale in Boisar, Mumbai with modern-day amenities. The Flat is in Boisar which is a promising investment destination in Mumbai. This might Read More"
